Timestamp start: 1747052047877
Timestamp end: 1747052888182

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      222.2   136.0    68.9   103.0   114.0   210.4   249.1   269.8   284.2   300.2   320.0   356.8   555.5  1502.7  5712.1  36933.7    36938
read      234.0   154.2    68.9    99.7   109.3   211.8   260.9   288.8   308.5   331.0   360.5   410.9   787.1  1735.1  3761.2  56820.0    56902
read      206.1   142.3    63.8    99.4   108.1   176.6   225.3   253.4   272.8   295.1   323.5   377.4   561.8  1574.7  4559.8 102224.8   102243
read      197.2    82.0    74.4   114.2   131.5   190.3   211.6   223.4   231.5   241.7   255.0   280.1   396.5  1066.5  2756.0  14073.3    14085
read      245.9   202.2    63.8    99.6   109.5   198.1   262.5   303.4   333.0   367.6   409.9   478.2  1060.2  2295.2  4625.8  94114.2    94103
read      252.8   314.3    68.9   100.9   110.9   216.5   268.3   297.5   318.0   342.0   374.9   435.0   962.1  4618.1 10118.5  58168.0    58175
read      218.9   189.8    68.9   105.3   115.6   183.2   222.8   246.9   265.7   288.6   319.5   382.5  1038.2  2580.9  4753.8 151432.4   151312
read      238.6   180.0    63.8   100.8   110.4   201.8   260.4   293.5   318.2   348.0   390.2   457.3   856.8  1843.6  4714.6  83358.1    83333
read      225.4   198.1    63.8   109.7   120.8   190.9   229.6   253.1   271.5   294.4   327.2   391.2   923.7  2941.2  5444.4 165030.8   165153
read      204.0   148.5    63.8   100.4   109.4   172.8   215.5   242.2   262.0   285.0   314.5   369.1   651.0  1944.1  4076.0 124183.8   123975
read      223.1   121.7    68.9   105.4   117.7   211.3   246.8   266.4   280.3   296.5   319.1   360.9   541.5  1463.6  3162.2  28384.6    28449
read      204.4    94.7    74.4   113.1   130.5   196.8   221.7   234.3   244.6   255.9   272.1   298.9   413.1   920.0  3614.1  14908.3    14903
read      230.0   187.1    68.9   106.0   117.6   208.5   242.8   262.7   276.8   294.8   319.0   367.1   856.0  2558.1  7061.6  31203.8    31189
read      194.1    70.5    68.9   105.2   115.0   196.5   222.0   233.5   242.3   252.0   265.4   285.8   337.1   470.4  1675.5  40641.8    40636
read      192.5    80.1    63.8    98.6   107.1   180.6   226.5   247.0   260.0   273.3   290.6   315.8   376.8   538.6  1727.3  80467.6    80574
read      194.3    81.6    63.8   106.9   116.9   176.4   210.5   231.9   248.8   269.0   294.5   334.7   429.9   688.1  1680.6 168815.8   168820
read      194.7    88.5    68.9   105.9   115.7   175.6   210.9   233.2   250.8   271.4   297.2   338.4   435.9   683.2  2164.9 162713.4   162621
read      192.3    90.3    63.8    98.9   107.3   173.0   219.9   244.9   261.1   277.7   297.4   329.6   420.1   636.6  2211.3 101625.0   101621
read      198.7    78.5    68.9   101.9   111.1   196.6   232.5   248.3   258.8   270.5   286.3   311.9   390.3   557.0  1301.3  58616.1    58592
read      196.5    96.6    68.9   104.7   114.3   175.3   213.2   237.1   255.8   277.2   304.6   345.9   458.9   705.5  2387.0 152940.7   153042
read      191.8    95.1    68.9    99.6   108.0   170.9   215.8   242.1   259.7   278.0   300.0   334.6   429.6   633.2  1910.1 112236.2   112238
read      193.7    91.4    68.9   105.6   115.1   174.4   209.7   232.2   249.8   270.6   296.4   336.8   434.2   682.6  2279.5 160406.0   160265
read      197.3    84.7    68.9   101.9   111.1   195.7   230.6   246.0   256.0   267.9   282.6   306.0   366.5   553.3  2437.9  57110.9    57109
read      191.2    83.3    63.8    98.1   106.4   176.3   223.3   245.5   259.5   273.7   292.0   318.2   387.5   542.1  2072.7  88591.7    88551
read      179.4    62.4    74.4   126.9   138.7   174.6   187.1   195.4   200.6   208.8   218.3   236.9   296.2   851.0  2899.8   8419.5     8385
read      191.8    69.5    63.8   107.2   117.6   193.2   215.8   227.3   234.6   244.8   256.1   274.8   322.8   509.6  2564.4  34021.9    34088
