Timestamp start: 1747214468358
Timestamp end: 1747215308632

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      233.7   269.5    54.7   105.5   116.3   187.9   230.6   255.8   274.3   296.3   326.4   381.8  1350.2  3437.5  6789.4 133691.7   134088
read      242.2   159.5    68.9    99.3   109.5   213.6   272.0   305.2   329.1   357.6   394.3   451.8   772.5  1819.1  2713.8  66125.0    66126
read      250.2   173.1    68.9    98.9   109.2   210.3   279.8   322.0   352.5   385.6   424.7   484.8   874.3  1788.0  3308.7  78157.7    78214
read      244.7   166.3    59.1    98.1   108.5   218.6   275.4   307.4   329.7   354.6   385.5   433.6   857.3  1740.6  5743.8  55128.7    55191
read      246.6   155.8    68.9    99.1   109.8   220.5   277.3   309.9   332.1   357.2   389.1   442.1   856.2  1699.8  2504.0  54010.0    54081
read      248.1   263.7    63.8   104.2   115.0   191.5   241.6   273.6   298.2   331.7   385.5   507.3  1275.7  3349.9  7425.6 112580.3   112478
read      229.3   118.2    68.9   122.2   137.1   211.4   246.6   267.6   283.4   302.7   328.8   371.7   526.8  1461.6  3120.4 179575.0   179666
read      204.6   101.2    63.8   100.8   110.2   180.9   229.9   257.9   276.6   297.7   323.7   365.3   483.4  1089.9  2116.5 100428.0   100584
read      210.2   132.3    68.9   104.3   114.6   183.0   225.3   251.6   270.9   293.7   322.3   369.3   617.5  1535.2  2597.7 127927.7   127920
read      180.4   122.1    63.8   108.3   121.3   169.1   186.8   197.5   205.1   215.1   229.0   252.9   402.3  1689.7  4758.7   6582.3     6594
read      216.9    92.4    68.9   103.6   117.3   209.2   243.5   261.7   274.1   289.6   309.2   340.6   471.7  1103.3  1447.3  24970.7    25020
read      296.9   383.9    68.9   109.7   122.3   211.5   257.7   283.4   303.1   329.1   373.1  1018.8  1781.5  3765.1  7555.6 129478.7   129587
read      192.7    99.1    68.9   112.6   128.7   183.9   205.5   217.1   226.3   235.9   251.5   275.6   383.0  1350.0  2372.1  10274.0    10277
read      295.8   355.9    68.9   115.6   130.5   224.4   269.0   294.2   313.9   339.7   381.2   610.8  1708.3  3713.5  7787.3 148390.0   148458
read      240.6   143.4    63.8    99.7   109.9   214.6   272.1   304.6   328.8   358.0   393.8   450.3   707.0  1573.3  2650.3  66079.3    66114
read      244.4   181.9    63.8    99.0   109.7   222.1   275.7   306.7   327.3   350.6   379.2   426.4   761.2  1640.0  7084.1  49366.7    49261
read      276.7   332.4    63.8   109.3   121.3   204.0   250.9   277.4   297.0   322.0   362.4   589.1  1674.1  3482.6  7499.2 132864.3   133049
read      208.8   110.5    63.8   102.5   112.1   182.1   229.7   258.8   278.9   301.8   330.6   374.7   545.7  1283.5  1808.7 106699.0   106628
read      219.8   103.9    68.9   105.1   119.6   211.1   243.6   261.2   273.4   288.7   308.6   341.9   497.2  1321.2  2035.5  23484.0    23498
read      243.6   238.0    68.9   102.6   112.8   191.2   245.9   279.7   305.7   339.9   393.2   490.0  1165.1  3121.5  5314.2 103451.7   103564
read      216.7   133.9    63.8   113.0   125.6   195.3   231.7   253.9   270.9   291.5   317.9   361.0   487.3  1984.8  3255.5 162165.3   161774
read      233.8   128.2    63.8   101.3   113.1   220.2   263.9   287.3   304.0   323.3   349.0   392.7   588.9  1507.2  2348.6  39240.0    39037
read      326.1   332.2    68.9   132.8   151.7   258.5   302.3   327.8   347.3   374.2   419.9   778.0  1694.7  3567.0  7371.7 163796.0   163622
read      209.2   131.3    68.9   105.5   116.1   184.2   225.0   250.4   269.6   292.1   319.7   364.1   498.8  1672.6  2953.8 132476.7   132405
read      213.0   150.3    68.9   105.9   116.5   185.4   226.9   252.6   271.7   294.2   322.6   369.2   584.4  1762.2  5630.6 131372.3   131596
read      242.7   170.1    68.9   125.4   140.9   220.0   256.9   278.7   295.0   315.0   341.7   388.1   583.5  2626.3  4689.7 174504.7   174543
read      248.2   198.1    63.8   102.4   112.7   199.7   262.7   302.3   333.9   372.4   421.6   497.7  1009.7  2240.9  3646.6  90696.7    90567
read      233.7   203.3    63.8   104.5   115.0   188.9   235.9   265.6   287.4   314.0   352.3   450.7  1110.9  2513.3  4633.7 116347.7   116582
read      200.3   110.5    68.9   110.4   127.6   193.0   216.0   229.0   238.1   250.1   266.3   293.2   384.7  1121.6  4923.9  13865.0    13888
read      268.5   308.8    68.9   107.0   118.5   197.7   244.9   274.6   299.1   333.6   400.1   657.7  1526.3  3463.3  7542.3 118964.7   119224
read      227.9   175.8    68.9   112.5   125.1   197.4   236.4   260.9   278.5   299.9   328.5   376.8   995.3  2247.5  3626.9 156525.7   156471
read      231.2   161.5    68.9   116.9   130.6   205.1   243.4   266.6   283.9   304.9   333.5   381.5   710.2  2197.5  3633.1 163983.0   164013
read      243.3   139.3    68.9   103.5   115.5   227.3   274.0   299.7   318.4   341.1   370.2   418.2   637.6  1581.7  3094.4  41918.3    41909
read      290.8   361.5    68.9   111.1   123.8   212.3   261.0   288.6   309.9   337.2   380.3   653.9  1761.5  3662.9  7740.5 128001.7   128280
